Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
29 JUL 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,29 JUL 2026,              10.00,          60681608,             39.55,     2398743964.25   
29 JUL 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,29 JUL 2026,               5.00,          15015016,            171.00,     2567567736.00
29 JUL 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,29 JUL 2026,               5.00,          81871122,           3306.20,   270682303556.40   
29 JUL 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,29 JUL 2026,              10.00,        1201282642,           1667.80,  2003499190327.60
29 JUL 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,29 JUL 2026,               1.00,        1300905023,           3024.50,  3934587242063.50  
29 JUL 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,29 JUL 2026,              10.00,        1647176155,           1373.10,  2261737578430.50
29 JUL 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,29 JUL 2026,               2.00,        2303959098,           1719.70,  3962118460830.60
29 JUL 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,29 JUL 2026,               2.00,       19284694705,            209.50,  4040529234591.60
29 JUL 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,29 JUL 2026,              10.00,          15909732,             42.00,      668208744.00 
29 JUL 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,29 JUL 2026,               2.00,         109863595,            301.80,    33156832971.00  
29 JUL 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,29 JUL 2026,              10.00,          16318000,            176.65,     2882574700.00   
29 JUL 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,29 JUL 2026,              10.00,           5566250,             69.90,      389192200.00       
29 JUL 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,29 JUL 2026,              10.00,          17402815,           1423.40,    24771166871.00      
29 JUL 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,29 JUL 2026,              10.00,          54177208,              9.55,      517392336.40
29 JUL 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,29 JUL 2026,               5.00,          56568528,            114.45,     6474833714.90      
29 JUL 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,29 JUL 2026,              10.00,          10943011,           2258.60,    24715884644.60    
29 JUL 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,29 JUL 2026,              10.00,          64285720,            118.20,     7598572104.00   
29 JUL 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,29 JUL 2026,               2.00,          92438500,             51.20,     4731926815.00
29 JUL 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,29 JUL 2026,              10.00,          53942887,            149.55,     8067158750.85 
29 JUL 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,29 JUL 2026,               2.00,         111976150,            310.80,    34802187420.00
29 JUL 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,29 JUL 2026,               1.00,         351000000,           1282.60,   450192600000.00  
29 JUL 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,29 JUL 2026,              10.00,        1107991489,            295.40,   327311765765.50
29 JUL 2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,29 JUL 2026,               1.00,         251036900,             14.55,     3652586895.00      
