SYMBOL,SYMBOL P/E,ADJUSTED P/E
PARACABLES,35.27,35.28
HBLENGINE,37.23,36.87
TANLA,12.54,12.54
AVTNPL,16.47,16.47
ZEEMEDIA,,148.33
VEEDOL,11.39,11.39
LUMAXTECH,34.68,33.81
SARLAPOLY,494.53,12.22
PTL,11.06,11.06
WANBURY,15.11,14.23
AUTOIND,9.58,15.69
GANDHITUBE,14.63,14.48
PITTIENG,35.45,35.45
NETWORK18,,4952.06
UNOMINDA,54.81,53.96
IZMO,25.09,25.09
HUBTOWN,24.13,24.13
CTE,11.92,11.92
TIIL,20.54,20.54
ORIENTBELL,28.71,27.45
PGIL,72.35,71.63
REDINGTON,20.37,19.12
TTL,377.60,377.60
FSL,26.11,21.93
PFC,3.46,3.46
SMSPHARMA,38.18,38.18
INDIANB,9.02,9.02
ORIENTALTL,18.54,14.29
IDEA,4.32,
PAGEIND,52.76,51.02
LAOPALA,19.35,19.06
AMDIND,32.82,32.82
JKTYRE,15.70,12.31
ASTRAL,68.08,66.23
NAHARSPING,12.90,12.90
NAHARPOLY,7.95,7.95
THEMISMED,30.43,
NCLIND,8.71,8.12
BALAMINES,36.02,36.02
BANSWRAS,10.41,9.29
ICRA,23.24,23.13
PHOENIXLTD,41.47,40.88
NDLVENTURE,562.35,562.35
ZENITHSTL,21.23,31.51
BFUTILITIE,10.65,10.64
FORTIS,63.66,62.60
SRHHYPOLTD,9.67,8.76
ALPHAGEO,1206.23,1206.23
WEBELSOLAR,10.44,10.42
TGBHOTELS,19.99,19.99
HILTON,18.43,18.43
INSECTICID,14.24,14.24
KMSUGAR,5.75,5.75
NAVINFLUOR,56.50,56.11
TIMETECHNO,18.33,18.33
NAGREEKEXP,21.95,21.95
NELCAST,23.31,23.31
V2RETAIL,44.52,50.74
DLF,36.52,38.20
TARMAT,21.47,21.47
SPARC,4.03,4.00
SIGMAADV,91.95,87.44
ADSL,14.58,14.36
ALPA,30.09,30.09
CENTRALBK,6.11,6.11
ASIANTILES,140.42,140.42
TAKE,19.36,19.36
KPRMILL,42.24,42.24
CIEINDIA,16.04,16.04
PURVA,33.74,33.74
MOTILALOFS,30.83,30.83
INDOWIND,,266.94
NAGREEKCAP,3.91,3.91
KSCL,14.86,14.86
CENTUM,125.26,65.75
POWERGRID,15.90,15.90
SUPREMEINF,0.14,
MAANALU,47.37,47.37
IL&FSENGG,48.26,38.69
DELTACORP,,8.81
BAJAJELEC,,56.71
ENERGYDEV,,36.24
CERA,35.68,35.20
RELIGARE,489.01,489.01
BVCL,47.50,47.50
ADANIPORTS,31.05,30.63
EDELWEISS,18.17,15.86
RGL,15.37,15.37
KOLTEPATIL,31.89,31.89
COLPAL,36.50,35.94
JYOTHYLAB,25.29,25.29
KALYANIFRG,28.57,28.57
HITECHCORP,32.52,30.37
ECLERX,24.50,24.50
TARIL,32.35,32.35
BRIGADE,27.11,27.63
MANAKSIA,7.20,7.20
DVL,5.22,5.22
PATINTLOG,8.04,8.04
PPAP,7.42,84.60
ARIES,12.89,12.89
AMBIKCO,11.31,11.31
CEATLTD,22.64,20.59
BIRLAMONEY,12.81,12.26
RPOWER,,110.83
JKIL,9.60,9.39
CORDSCABLE,19.10,19.10
KNRCON,8.82,10.37
SEPC,39.16,37.58
BANG,10.19,7.31
IRB,25.20,24.10
NMDC,9.97,9.97
GSS,,7.16
NAHARCAP,3.61,3.61
RECLTD,5.15,5.15
VGUARD,39.38,37.80
NESCO,18.46,18.46
DPSCLTD,53.58,53.58
TITAGARH,60.51,60.51
KIRIINDUS,0.58,3.50
BAJAJFINSV,15.06,14.88
BAJAJ-AUTO,27.99,27.92
DIGISPICE,20.50,17.69
GOKUL,20.37,20.37
RPGLIFE,38.47,39.48
ALMONDZ,9.95,9.95
ARCHIDPLY,15.33,14.47
LOTUSEYE,1554.78,1466.94
VINYLINDIA,21.77,21.77
UBL,83.98,96.14
LPDC,9.73,9.73
ZFCVINDIA,57.64,56.97
20MICRONS,11.07,11.02
JOCIL,16.12,16.12
ALKALI,75.71,75.71
COUNCODOS,80.63,80.63
TPHQ,9.36,9.36
TATACAP,28.14,27.98
MAWANASUG,19.27,15.64
AJMERA,14.64,14.64
MHRIL,77.47,89.06
VINATIORGA,30.34,30.34
LANDSMILL,40.66,40.66
ADANIPOWER,28.33,28.33
NHPC,17.97,17.97
GLOBUSSPR,26.39,26.39
OIL,8.54,8.54
EXPLEOSOL,9.96,9.35
RTNPOWER,34.95,34.95
AMRUTANJAN,26.42,22.92
SUNTECK,20.21,20.21
ZYDUSWELL,95.74,76.19
DEN,8.81,8.81
SHILPAMED,61.83,68.39
SARDAEN,16.45,16.59
REFEX,14.94,14.94
GILLANDERS,12.53,12.53
AHLUCONT,17.63,17.74
DLINKINDIA,14.36,14.36
JSWENERGY,39.55,38.29
GODREJPROP,35.43,36.30
DBCORP,9.61,9.61
HINDCOPPER,44.86,44.86
BEARDSELL,8.91,8.91
MMTC,20.87,
NESTLEIND,70.14,72.15
TRF,,45.22
WHIRLPOOL,40.04,37.07
UNITEDTEA,10.73,10.73
JUBLFOOD,69.49,67.69
VASCONEQ,24.56,24.56
THANGAMAYL,40.39,40.21
EMMBI,19.77,18.03
DBREALTY,453.91,
HATHWAY,23.76,23.76
TEXMOPIPES,10.90,10.90
MANINFRA,24.11,24.11
LGBBROSLTD,17.16,17.11
PERSISTENT,45.19,43.67
ASIANHOTNR,,128.14
ISFT,9.65,9.65
KIRLOSBROS,38.27,35.17
KSL,15.98,15.64
SJVN,41.33,41.33
SUNDARAM,14.43,16.18
KIRLOSIND,11.07,9.95
MANAPPURAM,21.50,21.50
UMESLTD,41.25,38.96
TI,,58.66
HMVL,6.47,5.44
IMFA,13.15,13.15
BLISSGVS,52.52,51.93
AHLWEST,8.61,6.67
AHLEAST,,12.42
BAJAJCON,30.72,30.72
UGARSUGAR,19.48,19.48
PRAKASHSTL,106.68,106.68
GPPL,14.04,14.42
ADFFOODS,32.74,31.12
WAAREEINDO,6.46,6.46
KILITCH,22.15,22.15
DEEPAKNTR,28.65,28.33
CPCAP,5.42,5.42
GREENPOWER,16.41,19.49
RAMKY,9.51,13.16
CANTABIL,20.61,20.61
WABAG,35.06,34.83
ASHOKA,1.29,22.79
BEDMUTHA,20.33,20.33
JWL,64.09,59.43
