Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
23 JUL 2026,AFSL,EQ,ABANS FINANCIAL SRVCS LTD,Listed    ,23 JUL 2026,               2.00,          50792840,            201.05,    10212408410.40      
23 JUL 2026,AGARIND,EQ,AGARWAL INDS CORP LTD.   ,Listed    ,23 JUL 2026,              10.00,          14957789,            486.65,     7279208016.85   
23 JUL 2026,AGARWALEYE,EQ,DR AGARWALS HEALTH CARE L,Listed    ,23 JUL 2026,               1.00,         316983028,            478.10,   151549585686.80
23 JUL 2026,AGARWALFT,ST,AGARWAL FLOAT GLASS I LTD,Listed    ,15 JUL 2026,              10.00,           7243488,             39.45,      285755601.60 
23 JUL 2026,AGARWALTUF,SM,AGARWAL TOUGH GLASS IND L,Listed    ,23 JUL 2026,              10.00,          17674600,            136.30,     2409047980.00
23 JUL 2026,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,23 JUL 2026,               2.00,          64697381,            669.75,    43331070924.75       
23 JUL 2026,AGIIL,EQ,AGI INFRA LIMITED        ,Listed    ,23 JUL 2026,               1.00,         124997388,            317.35,    39667921081.80     
23 JUL 2026,AGL,EQ,ALLCARGO GLOBAL LIMITED  ,Listed    ,23 JUL 2026,               2.00,         982782096,             12.70,    12481332619.20       
23 JUL 2026,AGNI,SM,AGNI GREEN POWER LTD     ,Listed    ,22 JUL 2026,              10.00,          19534800,             17.10,      334045080.00      
23 JUL 2026,AGRITECH,BE,AGRI-TECH (INDIA) LIMITED,Listed    ,23 JUL 2026,              10.00,           5940000,            112.05,      665636400.00  
23 JUL 2026,AGROPHOS,EQ,AGRO PHOS INDIA LIMITED  ,Listed    ,23 JUL 2026,              10.00,          20274115,             29.10,      589571264.20  
23 JUL 2026,AGUL,SM,A G UNIVERSAL LIMITED    ,Listed    ,23 JUL 2026,              10.00,           5484000,             58.65,      321636600.00      
23 JUL 2026,AHCL,EQ,ANLON HEALTHCARE LIMITED ,Listed    ,23 JUL 2026,               2.00,         531515000,             15.10,     8015246200.00      
23 JUL 2026,AHIMSA,ST,AHIMSA INDUSTRIES LTD.   ,Listed    ,23 MAR 2026,              10.00,           5473990,             24.70,      135207553.00    
23 JUL 2026,AHLADA,EQ,AHLADA ENGINEERS LIMITED ,Listed    ,23 JUL 2026,              10.00,          12921000,             37.60,      485829600.00    
23 JUL 2026,AHLEAST,EQ,ASIAN HOTELS (EAST) LTD  ,Listed    ,23 JUL 2026,              10.00,          17291696,            150.05,     2594618984.80   
