Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
04 AUG 2026,ACL,EQ,ANDHRA CEMENTS LIMITED   ,Listed    ,04 AUG 2026,              10.00,          92172140,             47.60,     4386472142.60       
04 AUG 2026,ACMESOLAR,EQ,ACME SOLAR HOLDINGS LTD  ,Listed    ,04 AUG 2026,               2.00,         706874336,            381.65,   269778590334.40 
04 AUG 2026,ACSTECH,EQ,A C S TECHNOLOGIES LTD.  ,Permitted ,04 AUG 2026,              10.00,          60681608,             42.20,     2561977489.75   
04 AUG 2026,ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES L ,Listed    ,30 JUL 2026,               5.00,          15015016,            171.00,     2567567736.00
04 AUG 2026,ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,Listed    ,04 AUG 2026,               5.00,          81871122,           3224.30,   263977058664.60   
04 AUG 2026,ADANIENSOL,EQ,ADANI ENERGY SOLUTION LTD,Listed    ,04 AUG 2026,              10.00,        1201282642,           1646.00,  1977311228732.00
04 AUG 2026,ADANIENT,EQ,ADANI ENTERPRISES LIMITED,Listed    ,04 AUG 2026,               1.00,        1300905023,           3050.00,  3967760320150.00  
04 AUG 2026,ADANIGREEN,EQ,ADANI GREEN ENERGY LTD   ,Listed    ,04 AUG 2026,              10.00,        1647176155,           1384.00,  2279691798520.00
04 AUG 2026,ADANIPORTS,EQ,ADANI PORT & SEZ LTD     ,Listed    ,04 AUG 2026,               2.00,        2303959098,           1706.70,  3932166992556.60
04 AUG 2026,ADANIPOWER,EQ,ADANI POWER LTD          ,Listed    ,04 AUG 2026,               2.00,       19284694705,            209.95,  4048821653314.75
04 AUG 2026,ADDICTIVE,SM,ADDICTIVE LEARNING TECH L,Listed    ,04 AUG 2026,              10.00,          15909732,             40.20,      639571226.40 
04 AUG 2026,ADFFOODS,EQ,ADF FOODS LIMITED        ,Listed    ,04 AUG 2026,               2.00,         109863595,            273.25,    30020227333.75  
04 AUG 2026,ADISOFT,SM,ADISOFT TECHNOLOGIES LTD ,Listed    ,04 AUG 2026,              10.00,          16318000,            173.35,     2828725300.00   
04 AUG 2026,ADL,EQ,ARCHIDPLY DECOR LIMITED  ,Listed    ,04 AUG 2026,              10.00,           5566250,             75.35,      419305612.50       
04 AUG 2026,ADOR,EQ,ADOR WELDING LTD         ,Listed    ,04 AUG 2026,              10.00,          17402815,           1510.80,    26292172902.00      
04 AUG 2026,ADROITINFO,EQ,ADROIT INFOTECH LIMITED  ,Listed    ,04 AUG 2026,              10.00,          54177208,              9.85,      533645498.80
04 AUG 2026,ADSL,EQ,ALLIED DIGITAL SERV. LTD ,Listed    ,04 AUG 2026,               5.00,          56568528,            116.85,     6610598182.10      
04 AUG 2026,ADVAIT,EQ,ADVAIT ENRGY TRANSITION L,Listed    ,04 AUG 2026,              10.00,          10943011,           2343.00,    25639474773.00    
04 AUG 2026,ADVANCE,EQ,ADVANCE AGROLIFE LIMITED ,Listed    ,04 AUG 2026,              10.00,          64285720,            125.10,     8042786429.20   
04 AUG 2026,ADVANIHOTR,EQ,ADVANI HOT.& RES.(I) LTD ,Listed    ,04 AUG 2026,               2.00,          92438500,             52.45,     4846550555.00
04 AUG 2026,ADVENTHTL,EQ,ADVENT HOTELS INTERNATI L,Listed    ,04 AUG 2026,              10.00,          53942887,            147.85,     7975995271.80 
04 AUG 2026,ADVENZYMES,EQ,ADVANCED ENZYME TECH LTD ,Listed    ,04 AUG 2026,               2.00,         111976150,            322.65,    36129104797.50
04 AUG 2026,AEGISLOG,EQ,AEGIS LOGISTICS LIMITED  ,Listed    ,04 AUG 2026,               1.00,         351000000,           1357.90,   476622900000.00  
04 AUG 2026,AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LTD,Listed    ,04 AUG 2026,              10.00,        1107991489,            296.15,   328131679467.35
04 AUG 2026,AEPL,EQ,ARTEMIS ELECTRICALS & P L,Listed    ,04 AUG 2026,               1.00,         251036900,             14.10,     3534599552.00      
04 AUG 2026,AEQUS,EQ,AEQUS LIMITED            ,Listed    ,04 AUG 2026,              10.00,         670665635,            230.80,   154782921901.65     
04 AUG 2026,AEROENTER,EQ,AEROFLEX ENTERPRISES LTD ,Listed    ,04 AUG 2026,               2.00,         113085000,            132.65,    15002986950.00 
04 AUG 2026,AEROFLEX,EQ,AEROFLEX INDUSTRIES LTD  ,Listed    ,04 AUG 2026,               2.00,         132330768,            463.80,    61375010198.40  
04 AUG 2026,AERON,SM,AERON COMPOSITE LIMITED  ,Listed    ,04 AUG 2026,              10.00,          17020000,             77.60,     1320752000.00     
04 AUG 2026,AERONEU,EQ,AEROFLEX NEU LIMITED     ,Listed    ,04 AUG 2026,              10.00,          25796000,             85.15,     2196529400.00   
04 AUG 2026,AEROPLANE,EQ,AMIR CHAND JAG KUM (E) L ,Listed    ,04 AUG 2026,              10.00,         103551556,            201.40,    20854247862.85 
04 AUG 2026,AESTHETIK,SM,AESTHETIK ENGINEERS LTD  ,Listed    ,31 JUL 2026,              10.00,          17220175,             74.95,     1290652116.25 
04 AUG 2026,AETHER,EQ,AETHER INDUSTRIES LIMITED,Listed    ,04 AUG 2026,              10.00,         132712576,           1578.30,   209460258700.80    
04 AUG 2026,AFCONS,EQ,AFCONS INFRASTRUCTURE LTD,Listed    ,04 AUG 2026,              10.00,         367784631,            281.60,   103568152089.60    
04 AUG 2026,AFFLE,EQ,AFFLE 3I LIMITED         ,Listed    ,04 AUG 2026,               2.00,         140796384,           1683.30,   237002553187.20     
04 AUG 2026,AFFORDABLE,BE,AFFORD ROBO & AUTO LTD   ,Listed    ,04 AUG 2026,              10.00,          11851105,            180.30,     2136635720.45
