SYMBOL,SYMBOL P/E,ADJUSTED P/E
FDC,24.65,23.38
ENGINERSIN,21.13,21.13
ADROITINFO,14.86,14.86
JAICORPLTD,11.56,11.49
ANTGRAPHIC,9.74,9.74
GMDCLTD,19.47,32.32
MAHAPEXLTD,50.62,93.32
INDUSINDBK,89.57,89.57
ASAHIINDIA,64.33,62.38
TRIGYN,69.88,45.75
J&KBANK,7.61,7.61
KOTHARIPRO,121.37,
CUB,17.03,17.03
SOUTHBANK,8.57,8.57
ASTRAZEN,109.38,107.30
CEMPRO,43.46,43.46
AXISBANK,15.75,15.75
CYIENT,19.87,18.57
SONATSOFTW,16.90,15.47
NOIDATOLL,3.27,3.27
CYBERTECH,14.30,14.30
KOKUYOCMLN,34.99,34.99
DHANBANK,13.91,13.91
SANGHVIMOV,21.11,20.38
STCINDIA,1.13,13.54
MANUGRAPH,9.37,12.10
VIPCLOTHNG,22.63,22.63
NATIONALUM,10.82,10.82
IVC,54.51,54.51
JINDALSTEL,31.29,22.79
ALEMBICLTD,18.51,18.51
ICDSLTD,47.55,47.55
BSOFT,15.19,14.53
HCLTECH,19.04,18.25
ACCELYA,16.74,15.85
STAR,18.11,17.40
ZYDUSLIFE,22.88,21.32
GLENMARK,46.93,24.76
RAJESHEXPO,25.59,25.59
CINEVISTA,14.78,14.78
SHREERAMA,23.97,23.97
WOCKPHARMA,151.66,105.07
NRBBEARING,28.82,28.07
IOB,12.58,12.58
RAMCOSYS,78.80,28.40
GVPIL,20.22,18.55
BIL,32.48,32.48
KTKBANK,7.67,7.67
MUKTAARTS,,40.69
BLBLIMITED,2.63,2.63
AJANTPHARM,39.21,39.21
BLUESTARCO,62.66,59.76
CALSOFT,6.94,6.94
TVSMOTOR,54.65,54.09
PNBGILTS,8.62,8.72
PNC,,6.01
TAJGVK,5.62,17.27
NLCINDIA,11.12,11.12
CHENNPETRO,5.33,5.33
KRBL,13.12,13.12
HAVELLS,46.33,45.42
GAEL,24.32,24.07
USHAMART,32.70,31.79
AXISCADES,90.60,83.55
UMIYA-MRO,4.25,4.25
TIPSMUSIC,40.18,40.18
STLTECH,510.13,615.39
HIKAL,,56.26
TRIDENT,35.80,35.80
MARKSANS,28.18,28.18
GOLDTECH,302.30,
SMARTLINK,13.27,13.27
GODREJCP,60.31,55.10
JISLJALEQS,,162.50
LUPIN,21.26,19.56
UNITDSPR,55.87,53.94
TCI,19.47,19.47
MPSLTD,19.74,20.27
BHARTIARTL,35.92,33.24
ASAL,29.49,28.38
OLECTRA,65.90,67.28
PONNIERODE,5.76,12.04
PNB,6.98,6.98
