SYMBOL,SYMBOL P/E,ADJUSTED P/E
GOKEX,61.24,61.24
SAKSOFT,18.09,17.62
ALLDIGI,15.15,13.94
IIFL,13.28,13.28
WELCORP,34.76,34.76
SSWL,19.66,19.66
CYBERMEDIA,8.21,8.57
SHAHALLOYS,3.72,
SURYALAXMI,35.09,37.53
JKPAPER,23.85,23.00
PRIMESECU,65.23,36.09
GRANULES,37.62,37.29
JSWHL,102.21,100.76
GEOJITFSL,29.00,27.03
GENUSPOWER,17.65,17.65
YESBANK,21.23,21.23
MSPL,62.49,15.57
SPLIL,13.93,13.93
MCLEODRUSS,,24.63
SEMAC,13.87,13.87
GOLDIAM,31.14,31.14
RML,31.92,30.92
HTMEDIA,,13.01
SASKEN,51.13,46.95
FCSSOFT,102.41,63.90
IMPAL,14.43,14.43
SUZLON,22.58,23.09
AURIONPRO,22.01,21.59
BASML,14.40,14.40
TRIVENI,37.91,36.83
AIAENG,35.54,35.47
NAHARINDUS,10.01,9.88
ORIENTCER,23.06,21.68
EKC,8.82,8.97
VIMTALABS,32.54,32.07
KERNEX,40.08,40.08
PVRINOX,61.19,46.56
NITINSPIN,17.40,17.40
ROHLTD,30.78,31.93
ENIL,,210.27
JAGRAN,7.43,7.43
SADBHAV,1.49,10.21
SAKUMA,28.34,28.34
KEC,21.90,20.27
JKCEMENT,42.45,41.06
INDOTECH,39.32,39.32
M&MFIN,16.03,15.44
BLKASHYAP,862.34,32.07
VISACHROME,0.57,
NITCO,94.30,82.74
CENTURYPLY,65.32,64.00
KEI,52.83,52.83
VAKRANGEE,58.36,58.52
SOLARINDS,95.93,95.89
GALLANTT,34.18,34.18
UTTAMSUGAR,8.89,8.80
KKCL,20.47,20.47
SUNTV,13.40,12.96
GPIL,20.83,20.47
RSYSTEMS,14.06,12.97
EMKAY,46.09,46.09
BALPHARMA,21.85,21.85
SWELECTES,16.59,16.09
KAMDHENU,11.75,11.75
RATNAMANI,34.33,33.84
PIONEEREMB,111.55,
JKLAKSHMI,16.91,16.26
PFOCUS,74.92,70.28
MUNJALAU,23.00,26.49
EMAMILTD,22.79,22.53
GMRAIRPORT,507.57,385.66
TECHM,28.65,27.65
GRINDWELL,63.30,63.30
VOLTAMP,44.50,44.50
ANTELOPUS,32.21,32.21
ACE,28.79,28.79
ANANTRAJ,37.31,37.31
TALBROAUTO,29.89,29.89
ALICON,30.49,28.67
GEECEE,17.35,17.35
JMFINANCIL,10.23,10.09
FIEMIND,23.80,23.80
DCBBANK,8.21,8.21
INSPIRISYS,10.11,9.59
GTLINFRA,2.09,
NAUKRI,44.44,45.41
VGL,25.68,25.68
GESHIP,6.68,6.68
TORNTPOWER,28.99,28.99
MANALIPETC,8.39,16.12
LTFOODS,21.45,21.45
DONEAR,9.97,9.97
RUCHIRA,11.43,11.43
SOBHA,82.39,82.39
VENUSREM,23.26,23.26
JINDRILL,10.00,9.80
HIRECT,114.73,111.96
NFL,21.21,21.21
PLASTIBLEN,12.31,12.31
PARACABLES,34.05,34.06
HBLENGINE,21.61,21.04
TANLA,15.32,15.32
AVTNPL,16.52,16.52
ZEEMEDIA,269.82,76.43
VEEDOL,15.65,15.65
LUMAXTECH,29.49,28.66
SARLAPOLY,,15.29
PTL,11.44,11.44
WANBURY,18.13,17.23
AUTOIND,11.19,25.72
GANDHITUBE,15.42,15.25
PITTIENG,30.34,30.34
UNOMINDA,64.19,62.96
IZMO,35.22,35.22
HUBTOWN,17.11,17.11
CTE,128.80,128.80
TIIL,18.98,18.98
ORIENTBELL,40.50,37.33
PGIL,35.03,34.90
REDINGTON,16.81,15.61
TTL,658.67,658.67
FSL,27.43,24.75
PFC,3.94,3.94
SMSPHARMA,41.20,41.20
INDIANB,8.81,8.81
ORIENTALTL,22.70,17.01
IDEA,4.36,
PAGEIND,59.08,57.16
LAOPALA,22.80,22.45
RAJTV,78.28,78.28
JKTYRE,15.65,12.65
ASTRAL,69.18,67.16
NAHARSPING,46.64,46.64
NAHARPOLY,9.21,9.21
NCLIND,7.13,6.75
BALAMINES,45.43,45.43
BANSWRAS,16.66,14.31
ICRA,27.66,27.01
