symbol,old_qualifies,new_qualifies,old_squeeze_pct,squeeze_pct,failed_low,ema_floor,candle_range_pct,tightening,squeeze_age,box_age_sessions,change
PETRONET,False,True,3.354847258554825,3.354847258554825,True,290.5153291407842,1.9590995016325792,False,1,3,add
SBFC,False,True,4.834707253394483,4.834707253394483,True,98.37236311216613,2.3354995938261545,False,2,5,add
SHARDAMOTR,False,True,1.6839183860254143,1.6839183860254143,True,885.827895341911,2.0953878995562025,True,1,2,add
SHYAMMETL,False,True,4.394155585019242,4.394155585019242,True,1062.1809314504362,3.400166312482672,True,3,4,add
TATACAP,False,True,2.158794170039782,2.158794170039782,True,369.8397580372496,2.676037302338163,False,3,5,add
TATASTEEL,False,True,2.3806133957989934,2.3806133957989934,True,185.72088301449241,3.162545121491301,True,1,5,add
V2RETAIL,False,True,2.9264331323654718,2.9264331323654718,True,220.06577608892746,3.6012948475856446,False,1,15,add
VIMTALABS,False,True,1.6240269505036011,1.6240269505036011,True,639.4438248217266,1.7950519004136425,True,1,10,add
ABSLAMC,True,True,2.2911532027807926,2.2911532027807926,False,1037.667952986468,2.7929743737402735,False,1,3,keep
ADANIPORTS,True,True,2.204222907129437,2.204222907129437,False,1685.9014013039957,1.800153455704421,False,2,4,keep
APARINDS,True,True,3.8388978243331437,3.8388978243331437,False,17381.119218251784,2.7414259927797833,True,2,5,keep
APLAPOLLO,True,True,3.643696061329529,3.643696061329529,False,2195.382028938668,2.537246049661391,False,1,4,keep
ASAHIINDIA,True,True,2.1674326510319877,2.1674326510319877,False,952.8892059789484,1.194154925889067,True,5,11,keep
AUROPHARMA,True,True,3.8331752084597284,3.8331752084597284,False,1651.1843816707465,1.3253012048192772,False,1,3,keep
AVTNPL,True,True,4.258358213603238,4.258358213603238,False,88.51314783152381,2.530521642619313,True,1,12,keep
AXISBANK,True,True,2.9150795461168157,2.9150795461168157,False,1257.3618538647013,0.8135860979463019,False,3,3,keep
CENTRALBK,True,True,2.513382681396374,2.513382681396374,False,30.776525087483165,1.1304909560723446,False,1,7,keep
CGPOWER,True,True,2.919386653340873,2.919386653340873,False,886.6659381690987,1.9888268156424531,False,3,3,keep
CHALET,True,True,4.925881459933883,4.925881459933883,False,893.6491772173515,2.2393397524071554,False,1,2,keep
CRAFTSMAN,True,True,3.657371088530635,3.657371088530635,False,11079.402324818977,3.1512791006461893,False,1,3,keep
DIVISLAB,True,True,3.7801686423107466,3.7801686423107466,False,9109.131434632442,2.0987654320987654,False,3,3,keep
DLINKINDIA,True,True,2.657598181800993,2.657598181800993,False,443.89420324874334,2.1202602647520727,True,3,1,keep
EIMCOELECO,True,True,3.2280334450393076,3.2280334450393076,False,2216.1748060751547,2.0326278659612154,True,2,7,keep
EXPLEOSOL,True,True,4.605983840875298,4.605983840875298,False,884.2071357789268,3.001500750375188,True,1,1,keep
GEOJITFSL,True,True,3.39542676075583,3.39542676075583,False,82.40370097307527,1.9086735926552456,True,2,8,keep
GRASIM,True,True,1.9924292461384205,1.9924292461384205,False,3303.835210112674,1.0507509689922425,False,3,3,keep
GSFC,True,True,3.0810809234011227,3.0810809234011227,False,160.2977615457282,1.3640291322059053,True,4,20,keep
GVT&D,True,True,4.851077811423732,4.851077811423732,False,4313.217085990496,1.557061732918117,True,1,5,keep
HARSHA,True,True,3.1808831306655625,3.1808831306655625,False,447.3043199363251,2.2724777692392064,False,1,1,keep
HERITGFOOD,True,True,4.401254244315381,4.401254244315381,False,374.8426821080394,3.371079005596769,True,1,6,keep
HYUNDAI,True,True,3.564159908281977,3.564159908281977,False,2199.701512492088,1.5520361990950309,False,1,5,keep
ICICIBANK,True,True,1.7340953769011593,1.7340953769011593,False,1427.5139474157234,0.826619964973743,True,1,3,keep
IDFCFIRSTB,True,True,1.3201900737236003,1.3201900737236003,False,85.7922267499047,1.0296159185562248,True,1,8,keep
IIFLCAPS,True,True,1.3898680360766287,1.3898680360766287,False,337.03393837467013,0.91055955353208,False,2,2,keep
INDGN,True,True,3.895687538774789,3.895687538774789,False,591.5220431988412,2.1690164344706764,False,3,3,keep
IPCALAB,True,True,2.6912440423413244,2.6912440423413244,False,1947.6347504925384,1.7712214792506786,True,2,1,keep
JSL,True,True,1.9233733792426058,1.9233733792426058,False,724.7660185301831,1.7643865363735072,True,4,1,keep
JUNIPER,True,True,2.33520771809204,2.33520771809204,False,213.8956615766066,1.602191984396038,True,1,20,keep
KOTAKBANK,True,True,2.5095945247866163,2.5095945247866163,False,418.33132989414065,1.1134802179578271,False,2,2,keep
KPIL,True,True,4.344982171736946,4.344982171736946,False,1404.2156617189016,1.9516989609660333,True,3,16,keep
KTKBANK,True,True,2.8650731720939517,2.8650731720939517,False,332.6871243855782,2.218225419664262,False,1,3,keep
MAHLOG,True,True,3.7503265576025147,3.7503265576025147,False,398.9548964187376,2.5917658730158704,True,2,11,keep
MCX,True,True,4.183538237986461,4.183538237986461,False,3257.7596999084603,2.9277520869617444,False,1,3,keep
MIDHANI,True,True,3.5714112934338633,3.5714112934338633,False,418.5482892808503,2.6911169326030033,True,2,5,keep
NAVINFLUOR,True,True,2.3598200605467823,2.3598200605467823,False,8533.751726708211,1.354100075550648,True,3,3,keep
NEPHROPLUS,True,True,3.8803976339989688,3.8803976339989688,False,696.8671171535075,2.5532812829711036,True,1,16,keep
NITINSPIN,True,True,3.8294464666962797,3.8294464666962797,False,623.0409310655082,2.3746912104550306,True,2,6,keep
NPST,True,True,4.645461426766724,4.645461426766724,False,1682.8168967404208,3.1946678924385146,True,1,6,keep
ORKLAINDIA,True,True,4.969357641721891,4.969357641721891,False,585.8163948176054,1.8960555273404511,False,1,4,keep
PAYTM,True,True,4.813996632694492,4.813996632694492,False,1648.9071363318333,1.6406249999999973,False,1,6,keep
PIRAMALFIN,True,True,4.443824227450815,4.443824227450815,False,2220.725524954043,3.5780628040690003,False,3,3,keep
PNBHOUSING,True,True,4.062904020613734,4.062904020613734,False,1162.2779177902646,2.131799340157351,False,1,6,keep
RAIN,True,True,4.914280124229356,4.914280124229356,False,207.60065220477006,3.145992998391525,True,1,8,keep
RELIANCE,True,True,2.272224327711121,2.272224327711121,False,1306.339185273148,1.702940053455514,True,4,19,keep
ROSSTECH,True,True,4.405056253314937,4.405056253314937,False,1120.372740711149,2.8218080473785134,True,1,12,keep
SAGILITY,True,True,3.6595115213274925,3.6595115213274925,False,45.752097978521576,2.372143634385193,True,3,3,keep
SCI,True,True,3.703663107158211,3.703663107158211,False,292.0954941571832,1.9234042553191413,True,3,4,keep
SHAREINDIA,True,True,2.470835632556425,2.470835632556425,False,170.93936638681836,2.6067729547305887,True,1,2,keep
SIRCA,True,True,3.9807428418020616,3.9807428418020616,False,435.18765925928767,1.6481629850062924,False,3,8,keep
SOMANYCERA,True,True,3.651941470014459,3.651941470014459,False,555.7356016009566,3.485877726135145,False,1,1,keep
SPIC,True,True,4.700720632531144,4.700720632531144,False,69.85437177635467,2.816108138552521,True,1,7,keep
ULTRAMAR,True,True,4.537320258084553,4.537320258084553,False,428.29331266210363,3.1904983698183487,True,2,3,keep
UNIMECH,True,True,4.3636042353789914,4.3636042353789914,False,1482.8423163304487,2.6074747609814803,True,2,3,keep
VIJAYA,True,True,2.6288178260110606,2.6288178260110606,False,1489.7790872620308,2.644407345575954,True,1,1,keep
