SYMBOL,SYMBOL P/E,ADJUSTED P/E
SKFINDIA,27.59,25.38
AUSOMENT,11.87,11.87
EIMCOELECO,26.06,26.06
JAYAGROGN,12.91,12.91
CUBEXTUB,14.79,14.79
MARICO,61.27,61.27
SILINV,11.51,11.51
SAMBHAAV,2027.23,2027.23
BIOFILCHEM,18.73,18.73
KEYFINSERV,21.22,20.68
ZENITHEXPO,47.17,47.17
SUNDRMBRAK,121.85,107.96
SANGAMIND,25.47,24.27
MOTHERSON,43.86,40.93
SOMATEX,34.00,89.98
VISAKAIND,8.08,18.21
AARTIDRUGS,18.94,18.94
STERTOOLS,30.06,50.89
CREST,21.98,21.98
INDIANCARD,35.77,28.61
HITECHGEAR,52.74,52.74
WENDT,95.27,95.27
DENORA,49.98,49.98
TVSSRICHAK,42.72,46.84
SHRIRAMFIN,20.94,20.94
PUNJABCHEM,21.50,20.97
DYNAMATECH,219.15,153.77
GUJAPOLLO,91.65,91.65
GANESHHOU,25.14,25.14
MMFL,27.17,27.16
JAGSNPHARM,33.87,32.69
ALKYLAMINE,50.84,50.84
BOSCH-HCIL,,230.35
MPHASIS,22.86,22.56
GUJRAFFIA,20.93,20.93
RUCHINFRA,14.12,14.12
RAMCOIND,21.07,22.05
KOTHARIPET,10.70,10.67
HERITGFOOD,23.13,24.59
INDRAMEDCO,18.20,18.20
BANKBARODA,7.20,5.86
MADRASFERT,13.29,12.22
GAIL,18.39,18.39
INDNIPPON,24.38,27.25
SKMEGGPROD,16.59,16.59
BANKINDIA,5.66,5.66
CONCOR,29.59,29.59
ICICIBANK,17.28,17.28
KCPSUGIND,28.37,28.37
HUDCO,9.70,9.70
INDSWFTLAB,47.88,40.64
SAREGAMA,46.53,45.20
FDC,23.89,22.65
ENGINERSIN,19.65,19.65
ADROITINFO,15.27,15.27
JAICORPLTD,10.38,10.32
ANTGRAPHIC,9.48,9.48
GMDCLTD,18.69,31.01
MAHAPEXLTD,48.51,89.44
INDUSINDBK,58.70,58.70
ASAHIINDIA,65.63,63.64
TRIGYN,74.62,48.85
J&KBANK,8.03,8.03
KOTHARIPRO,122.03,
CUB,16.42,16.42
SOUTHBANK,8.06,8.06
ASTRAZEN,106.73,104.71
CEMPRO,41.92,41.92
AXISBANK,13.69,13.69
CYIENT,22.00,20.40
SONATSOFTW,17.40,15.93
NOIDATOLL,2.95,2.95
CYBERTECH,13.54,13.54
KOKUYOCMLN,33.94,33.94
DHANBANK,13.17,13.17
SANGHVIMOV,21.41,20.66
STCINDIA,1.09,13.05
MANUGRAPH,8.29,10.71
VIPCLOTHNG,19.63,19.63
NATIONALUM,10.86,10.86
IVC,55.11,55.11
JINDALSTEL,38.79,26.53
ALEMBICLTD,17.93,17.93
ICDSLTD,48.24,48.24
BSOFT,15.23,14.57
HCLTECH,19.78,19.00
ACCELYA,17.50,16.57
STAR,16.38,15.73
ZYDUSLIFE,22.00,20.50
GLENMARK,45.42,23.96
RAJESHEXPO,23.34,23.34
CINEVISTA,14.40,14.40
SHREERAMA,21.66,21.66
WOCKPHARMA,151.00,104.61
NRBBEARING,26.47,25.78
IOB,11.33,11.33
RAMCOSYS,64.46,23.05
GVPIL,18.32,16.81
BIL,32.11,32.11
KTKBANK,8.07,8.07
MAHLIFE,109.46,163.34
MUKTAARTS,,42.66
BLBLIMITED,2.49,2.49
AJANTPHARM,39.86,39.86
BLUESTARCO,63.91,60.94
CALSOFT,5.22,5.22
TVSMOTOR,50.44,49.98
PNBGILTS,15.06,15.38
PNC,,5.63
TAJGVK,5.59,17.17
NLCINDIA,10.77,10.77
CHENNPETRO,4.41,4.41
TTML,205.13,
KRBL,12.39,12.39
HAVELLS,48.07,47.10
GAEL,22.86,22.63
USHAMART,31.96,31.07
AXISCADES,94.66,87.29
UMIYA-MRO,19.45,19.45
TIPSMUSIC,41.66,41.66
STLTECH,119.31,124.21
HIKAL,,56.26
TRIDENT,33.07,33.07
MARKSANS,26.57,26.57
GOLDTECH,305.05,
SMARTLINK,15.32,15.32
GODREJCP,58.24,53.21
JISLJALEQS,,149.41
LUPIN,20.24,18.62
UNITDSPR,63.22,59.14
TCI,18.74,18.74
MPSLTD,25.15,25.83
BHARTIARTL,35.40,32.76
ASAL,27.06,26.11
OLECTRA,62.20,63.50
PONNIERODE,5.49,9.26
PNB,6.16,6.16
APTECHT,22.52,21.04
SURANAT&P,11.64,11.68
TEAMGTY,284.49,284.49
OFSS,27.18,27.18
UNIONBANK,6.50,6.50
NUCLEUS,16.34,14.30
CANBK,6.66,6.66
GENESYS,37.93,35.20
OMAXAUTO,11.95,11.95
GODREJIND,22.82,22.28
DIVISLAB,74.93,73.38
RADICO,91.52,89.65
INDORAMA,8.42,8.27
MARUTI,29.36,29.36
VARDHACRLC,12.37,12.37
UCOBANK,11.52,11.52
BAGFILMS,18.69,18.69
JSL,18.49,18.23
NSIL,50.24,50.23
WELSPUNLIV,71.89,69.69
JAIBALAJI,42.99,41.92
TVSELECT,735.13,463.13
IGL,16.83,16.83
DREDGECORP,589.17,589.17
TVTODAY,54.63,0.96
UNIENTER,33.00,33.00
UPL,21.07,21.14
MUKANDLTD,3.31,3.31
PETRONET,10.82,10.82
PTC,6.79,6.76
VAIBHAVGBL,15.84,15.85
BIOCON,191.63,73.70
MAHABANK,8.37,8.37
POONAWALLA,51.44,51.44
XPROINDIA,166.34,166.34
RKFORGE,92.75,81.75
DATAMATICS,24.91,20.80
CCL,40.72,40.72
EXCELINDUS,15.49,15.49
LT,27.18,25.51
APARINDS,47.24,46.29
AMBICAAGAR,12.28,12.28
CENTEXT,13.82,13.28
NIITLTD,135.88,72.31
ULTRACEMCO,40.68,40.25
TCS,16.29,15.11
COFORGE,39.25,35.87
TEXINFRA,144.60,144.60
GULFPETRO,5.35,5.07
GUFICBIO,59.17,59.17
ASTRAMICRO,92.98,92.98
WELENT,20.33,19.11
NTPC,13.30,13.30
KOTARISUG,30.66,
JBMA,57.50,56.20
DWARKESH,26.02,26.02
SUPRAJIT,36.38,36.17
PATELENG,10.30,6.45
XCHANGING,12.00,12.00
JSWSTEEL,10.66,24.14
CONSOFINVT,17.11,17.11
JINDALPHOT,288.22,288.22
JPPOWER,18.11,13.91
EVEREADY,15.13,
GOKEX,60.77,60.77
SAKSOFT,16.74,16.30
ALLDIGI,14.67,13.54
IIFL,10.50,10.50
WELCORP,29.98,29.98
SSWL,21.35,21.35
CYBERMEDIA,7.26,7.53
SHAHALLOYS,3.47,
SURYALAXMI,34.71,37.13
JKPAPER,25.90,24.97
PRIMESECU,160.60,51.44
GRANULES,31.18,31.85
JSWHL,99.18,97.77
GEOJITFSL,30.06,27.79
GENUSPOWER,17.00,17.00
YESBANK,19.08,19.08
MSPL,59.43,14.81
SPLIL,12.83,12.83
MCLEODRUSS,,23.86
SEMAC,13.71,13.71
GOLDIAM,30.85,30.85
RML,29.07,28.16
HTMEDIA,,11.91
SASKEN,47.16,43.30
FCSSOFT,93.95,60.23
IMPAL,13.91,13.91
SUZLON,22.71,23.23
AURIONPRO,21.45,21.04
BASML,14.21,14.21
TRIVENI,20.00,19.43
AIAENG,34.08,34.01
NAHARINDUS,9.97,9.84
ORIENTCER,22.31,20.98
EKC,8.32,8.46
VIMTALABS,32.00,31.55
KERNEX,41.99,41.99
PVRINOX,38.36,32.36
NITINSPIN,16.95,16.95
ROHLTD,29.86,30.98
ENIL,,210.29
JAGRAN,7.41,7.41
SADBHAV,1.45,9.90
SAKUMA,27.03,27.03
KEC,20.66,19.12
JKCEMENT,46.51,44.90
INDOTECH,39.13,39.13
M&MFIN,15.54,15.05
BLKASHYAP,794.88,29.56
VISACHROME,0.51,
NITCO,87.42,76.71
CENTURYPLY,65.59,64.26
